X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.620977909193	15.9684707435631	B03419LZ	Diarabasin Bridge № 2	Diarabasin	Dipaculao
121.370394981531	15.6918915916063	B02825LZ	Dipawan Bridge	Villa Aurora	Maria Aurora
121.452771740278	15.8001231456616	B03290LZ	Diaat Bridge	Diaat	Maria Aurora
121.858902041133	16.1182270333839	B04212LZ	Sala Bridge	Abuleg	Dinalungan
121.334168459854	15.6817869059116	B04873LZ	Villa Bridge	Villa	Maria Aurora
121.351624831943	15.7748769889956	B04657LZ	Dimasalan Bridge	Dimotol	Maria Aurora
121.311125867186	15.6763087396623	B04659LZ	Camatis A Bridge	Villa	Maria Aurora
121.423454859705	15.7618632453173	B04654LZ	Binuangan Bridge	Wenceslao	Maria Aurora
121.556292952592	15.7696531711109	B03014LZ	Pudoc Bridge	Buhangin	Baler
121.338556550013	15.696452764436	B02824LZ	Dimani Bridge	Villa	Maria Aurora
121.568487055988	15.7375340027576	B04874LZ	Dicaloyungan Bridge	Zabali	Baler
121.736480405561	16.0645164105259	B03422LZ	Ngasngas Bridge	Diarabasin	Dipaculao
121.752202730987	16.0749837924248	B03424LZ	Dinadiawan Bridge	Dinadiawan	Dipaculao
121.438238202416	15.6729331054092	B02828LZ	Diteki A Bridge	Diteki	San Luis
122.0425986439	16.2078337815408	B03426LZ	Bianoan Bridge	Bianoan	Casiguran
121.534591817487	15.8398473407347	B03016LZ	Lipit Bridge	Lipit	Dipaculao
121.481529551459	15.7804821621886	B03007LZ	Malupa Bridge	Malupa	Maria Aurora
121.554927698897	15.9000894366987	B03415LZ	Amper Bridge	Gupa	Dipaculao
122.115287563829	16.2738059331627	B03281LZ	Minanga Bridge		Casiguran
121.721610593644	16.0543254695026	B04350LZ	Dipanindingan Bridge	Dinadiawan	Dipaculao
121.589368969295	15.7530567067332	B02836LZ	Cemento Bridge	Zabali	Baler
121.547095976607	15.8763075165717	B03017LZ	Mijares Bridge	Mijares	Dipaculao
121.412920949839	15.6737104664271	B04661LZ	Biculaoag Bridge	Diteki	San Luis
121.711617944932	16.0450628550476	B04349LZ	Diapalan Bridge	Dianed	Dipaculao
122.094006563682	16.2679869126214	B03278LZ	Pugo Bridge	Tinib	Casiguran
121.563508142278	15.920128832439	B03416LZ	Ditale Bridge	Ditale	Dipaculao
121.391667631204	15.3793555272845	B04665LZ	Water Point		Dingalan
122.100747013619	16.2701444961908	B03280LZ	Disogon Bridge	Tinib	Casiguran
122.03596217102	16.2013511536573	B03019LZ	Sambay Bridge	Bianoan	Casiguran
122.08134527512	16.2563497219415	B03277LZ	Gumaninang Bridge	Dibacong	Casiguran
121.43912803227	15.6744413648264	B02829LZ	Diteki B Bridge	Diteki	San Luis
121.965883740628	16.144077992612	B03018LZ	Dinalungan Bridge	Poblacion	Dinalungan
121.317323466329	15.6820294321673	B04660LZ	Camatis B Bridge	Villa	Maria Aurora
121.385428255918	15.6958223693671	B02826LZ	Dicong Bridge	Diteki	San Luis
121.349962430362	15.7789496949192	B04658LZ	Dimotol Bridge	Dianawan	Maria Aurora
121.893062961126	16.1291816778972	B04875LZ	Simbahan Bridge № 2	Simbahan	Dinalungan
122.082025956644	16.263514103633	B04343LZ	Montay Bridge	Tinib	Aurora
121.540635546538	15.8586377217064	B03275LZ	Abitonan Bridge	Lobbot	Dipaculao
121.492731974208	15.7529909892242	B03288LZ	Diteki Bridge	Dikildit	Maria Aurora
121.760950076523	16.0776632742	B03425LZ	Diluma Bridge	Dinadiawan	Dipaculao
121.488447523935	15.7615314633033	B03289LZ	Ma. Aurora Bridge	Dikildit	Maria Aurora
121.596852398069	15.9364784532374	B03417LZ	Dibutunan Bridge	Dibutunan	Dipaculao
